,visitor,home,dates,visitor_score,home_score
178,WAS,MIA,20181110,116,110
179,BRK,GSW,20181110,100,116
180,HOU,SAS,20181110,89,96
181,OKC,DAL,20181110,96,111
182,LAL,SAC,20181110,101,86
183,CHO,DET,20181111,113,103
184,IND,HOU,20181111,103,115
185,ORL,NYK,20181111,115,89
186,MIL,DEN,20181111,121,114
187,BOS,POR,20181111,94,100
188,ATL,LAL,20181111,106,107
189,ORL,WAS,20181112,109,117
190,PHI,MIA,20181112,124,114
191,NOP,TOR,20181112,126,110
192,DAL,CHI,20181112,103,98
193,UTA,MEM,20181112,96,88
194,BRK,MIN,20181112,113,120
195,PHO,OKC,20181112,101,118
196,SAS,SAC,20181112,99,104
197,GSW,LAC,20181112,116,121
198,CHO,CLE,20181113,89,113
199,HOU,DEN,20181113,109,99
200,ATL,GSW,20181113,103,110
201,PHI,ORL,20181114,106,111
202,CLE,WAS,20181114,95,119
203,CHI,BOS,20181114,82,111
204,MIA,BRK,20181114,120,107
205,DET,TOR,20181114,106,104
206,MEM,MIL,20181114,116,113
207,NOP,MIN,20181114,100,107
208,NYK,OKC,20181114,103,128
209,UTA,DAL,20181114,68,118
210,SAS,PHO,20181114,96,116
211,POR,LAL,20181114,117,126
212,GSW,HOU,20181115,86,107
213,ATL,DEN,20181115,93,138
214,SAS,LAC,20181115,111,116
215,TOR,BOS,20181116,116,123
216,MIA,IND,20181116,91,99
217,UTA,PHI,20181116,107,113
218,BRK,WAS,20181116,115,104
219,SAC,MEM,20181116,104,112
220,POR,MIN,20181116,96,112
221,NYK,NOP,20181116,124,129
222,CHI,MIL,20181116,104,123
223,LAC,BRK,20181117,127,119
224,PHI,CHO,20181117,122,119
225,ATL,IND,20181117,89,97
226,DEN,NOP,20181117,115,125
227,LAL,ORL,20181117,117,130
228,UTA,BOS,20181117,98,86
229,TOR,CHI,20181117,122,83
230,SAC,HOU,20181117,112,132
231,GSW,DAL,20181117,109,112
232,OKC,PHO,20181117,110,100
233,MEM,MIN,20181118,100,87
234,LAL,MIA,20181118,113,97
235,NYK,ORL,20181118,117,131
236,POR,WAS,20181118,119,109
237,GSW,SAS,20181118,92,104
238,BOS,CHO,20181119,112,117
239,CLE,DET,20181119,102,113
240,UTA,IND,20181119,94,121
241,PHO,PHI,20181119,114,119
242,LAC,ATL,20181119,127,119
243,DAL,MEM,20181119,88,98
244,DEN,MIL,20181119,98,104
245,SAS,NOP,20181119,126,140
246,OKC,SAC,20181119,113,117
247,TOR,ORL,20181120,93,91
248,LAC,WAS,20181120,118,125
249,BRK,MIA,20181120,104,92
250,POR,NYK,20181120,118,114
251,IND,CHO,20181121,109,127
252,NOP,PHI,20181121,120,121
253,TOR,ATL,20181121,124,108
254,NYK,BOS,20181121,117,109
255,PHO,CHI,20181121,116,124
256,LAL,CLE,20181121,109,105
257,DET,HOU,20181121,124,126
258,POR,MIL,20181121,100,143
259,DEN,MIN,20181121,103,101
260,BRK,DAL,20181121,113,119
261,MEM,SAS,20181121,104,103
262,SAC,UTA,20181121,119,110
263,OKC,GSW,20181121,123,95
264,MIN,BRK,20181123,112,102
265,MEM,LAC,20181123,107,112
266,HOU,DET,20181123,111,116
267,BOS,ATL,20181123,114,96
268,NOP,NYK,20181123,109,114
269,CLE,PHI,20181123,121,112
270,WAS,TOR,20181123,107,125
271,MIA,CHI,20181123,103,96
272,SAS,IND,20181123,111,100
273,CHO,OKC,20181123,104,109
274,PHO,MIL,20181123,116,114
275,ORL,DEN,20181123,87,112
276,POR,GSW,20181123,97,125
277,UTA,LAL,20181123,83,90
278,HOU,CLE,20181124,108,117
279,CHI,MIN,20181124,96,111
280,DEN,OKC,20181124,105,98
281,NOP,WAS,20181124,114,124
282,BOS,DAL,20181124,104,113
283,SAC,GSW,20181124,116,117
284,SAS,MIL,20181124,129,135
285,ORL,LAL,20181125,108,104
286,PHO,DET,20181125,107,118
287,CHO,ATL,20181125,123,124
288,PHI,BRK,20181125,127,125
289,NYK,MEM,20181125,103,98
290,MIA,TOR,20181125,115,125
291,UTA,SAC,20181125,133,112
292,LAC,POR,20181125,104,100
293,MIL,CHO,20181126,107,110
294,MIN,CLE,20181126,102,95
295,HOU,WAS,20181126,131,135
296,SAS,CHI,20181126,108,107
297,BOS,NOP,20181126,124,107
298,IND,UTA,20181126,121,88
299,ORL,GSW,20181126,110,116
300,NYK,DET,20181127,108,115
301,ATL,MIA,20181127,115,113
302,TOR,MEM,20181127,122,114
303,LAL,DEN,20181127,85,117
304,IND,PHO,20181127,109,104
305,ATL,CHO,20181128,94,108
306,NYK,PHI,20181128,91,117
307,UTA,BRK,20181128,101,91
308,DAL,HOU,20181128,128,108
309,CHI,MIL,20181128,113,116
310,SAS,MIN,20181128,89,128
311,WAS,NOP,20181128,104,125
312,CLE,OKC,20181128,83,100
313,ORL,POR,20181128,112,115
314,PHO,LAC,20181128,99,115
315,GSW,TOR,20181129,128,131
316,IND,LAL,20181129,96,104
317,LAC,SAC,20181129,133,121
318,CLE,BOS,20181130,95,128
319,UTA,CHO,20181130,119,111
320,CHI,DET,20181130,88,107
321,WAS,PHI,20181130,98,123
322,MEM,BRK,20181130,131,125
323,NOP,MIA,20181130,101,106
324,ATL,OKC,20181130,109,124
325,HOU,SAS,20181130,136,105
326,ORL,PHO,20181130,99,85
327,DAL,LAL,20181130,103,114
328,DEN,POR,20181130,113,112
329,MIL,NYK,20181201,134,136
330,GSW,DET,20181201,102,111
331,BRK,WAS,20181201,88,102
332,TOR,CLE,20181201,106,95
333,CHI,HOU,20181201,105,121
334,BOS,MIN,20181201,118,109
335,IND,SAC,20181201,110,111
336,PHO,LAL,20181202,96,120
337,NOP,CHO,20181202,119,109
338,UTA,MIA,20181202,100,102
339,MEM,PHI,20181202,95,103
340,LAC,DAL,20181202,110,114
341,POR,SAS,20181202,118,131
342,OKC,DET,20181203,110,83
343,GSW,ATL,20181203,128,111
344,CLE,BRK,20181203,99,97
345,WAS,NYK,20181203,110,107
346,DEN,TOR,20181203,106,103
347,HOU,MIN,20181203,91,103
348,LAC,NOP,20181203,129,126
349,CHI,IND,20181204,90,96
350,ORL,MIA,20181204,105,90
351,POR,DAL,20181204,102,111
352,SAC,PHO,20181204,122,105
353,SAS,UTA,20181204,105,139
354,GSW,CLE,20181205,129,105
355,DEN,ORL,20181205,124,118
356,WAS,ATL,20181205,131,117
357,OKC,BRK,20181205,114,112
358,LAC,MEM,20181205,86,96
359,DET,MIL,20181205,92,115
360,CHO,MIN,20181205,104,121
361,DAL,NOP,20181205,106,132
362,PHI,TOR,20181205,102,113
363,SAS,LAL,20181205,113,121
364,NYK,BOS,20181206,100,128
365,PHO,POR,20181206,86,108
366,HOU,UTA,20181206,91,118
367,DEN,CHO,20181207,107,113
368,PHI,DET,20181207,117,111
369,IND,ORL,20181207,112,90
370,TOR,BRK,20181207,105,106
371,SAC,CLE,20181207,129,110
