,player,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,team,year
93,Opponent,19855,3248,7203,.451,534,1504,.355,2714,5699,.476,1396,1822,.766,944,2622,3566,1675,639,304,985,1698,8426,POR,2014
94,Opponent/G,242.1,39.6,87.8,.451,6.5,18.3,.355,33.1,69.5,.476,17.0,22.2,.766,11.5,32.0,43.5,20.4,7.8,3.7,12.0,20.7,102.8,POR,2014
95,Lg,10,27,28,11,2,2,11,29,30,8,11,9,26,25,19,22,7,19,6,30,13,22,POR,2014
96,Team,19780,2951,6652,.444,543,1577,.344,2408,5075,.474,1346,1803,.747,904,2477,3381,1664,570,366,1200,1699,7791,UTA,2014
97,Team/G,241.2,36.0,81.1,.444,6.6,19.2,.344,29.4,61.9,.474,16.4,22.0,.747,11.0,30.2,41.2,20.3,7.0,4.5,14.6,20.7,95.0,UTA,2014
98,Lg,22,27,25,24,24,23,25,20,16,24,23,21,22,16,26,23,26,26,20,14,17,29,UTA,2014
99,Opponent,19780,3138,6639,.473,599,1591,.376,2539,5048,.503,1504,1945,.773,846,2640,3486,1788,617,401,1034,1673,8379,UTA,2014
100,Opponent/G,241.2,38.3,81.0,.473,7.3,19.4,.376,31.0,61.6,.503,18.3,23.7,.773,10.3,32.2,42.5,21.8,7.5,4.9,12.6,20.4,102.2,UTA,2014
101,Lg,22,21,8,30,10,7,28,22,16,24,16,15,30,7,21,14,14,13,17,29,17,18,UTA,2014
102,Team,19755,3147,7042,.447,702,1959,.358,2445,5083,.481,1563,2154,.726,1009,2717,3726,1838,615,459,1305,1890,8559,DEN,2014
103,Team/G,240.9,38.4,85.9,.447,8.6,23.9,.358,29.8,62.0,.481,19.1,26.3,.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23.0,104.4,DEN,2014
104,Lg,25,11,5,19,11,9,15,17,15,16,8,5,27,4,8,2,12,18,4,28,30,9,DEN,2014
105,Opponent,19755,3238,7086,.457,605,1724,.351,2633,5362,.491,1654,2168,.763,930,2665,3595,1843,694,459,1178,1778,8735,DEN,2014
106,Opponent/G,240.9,39.5,86.4,.457,7.4,21.0,.351,32.1,65.4,.491,20.2,26.4,.763,11.3,32.5,43.8,22.5,8.5,5.6,14.4,21.7,106.5,DEN,2014
107,Lg,25,26,27,15,11,10,7,27,27,14,29,28,22,23,23,26,19,27,24,16,7,28,DEN,2014
108,Team,19855,3189,7175,.444,600,1757,.341,2589,5418,.478,1790,2301,.778,1024,2644,3668,1963,718,297,1142,1504,8768,MIN,2014
109,Team/G,242.1,38.9,87.5,.444,7.3,21.4,.341,31.6,66.1,.478,21.8,28.1,.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9,MIN,2014
110,Lg,10,7,1,23,17,16,26,5,4,20,2,3,9,2,13,6,5,3,30,8,3,3,MIN,2014
111,Opponent,19855,3321,7048,.471,663,1820,.364,2658,5228,.508,1244,1645,.756,908,2717,3625,1875,644,457,1346,1936,8549,MIN,2014
112,Opponent/G,242.1,40.5,86.0,.471,8.1,22.2,.364,32.4,63.8,.508,15.2,20.1,.756,11.1,33.1,44.2,22.9,7.9,5.6,16.4,23.6,104.3,MIN,2014
113,Lg,10,29,26,29,18,18,19,28,24,28,1,1,14,19,26,28,23,21,23,3,2,26,MIN,2014
114,Team,19830,3236,7005,.462,774,2037,.380,2462,4968,.496,1303,1731,.753,896,2819,3715,1912,642,407,1247,1784,8549,GSW,2014
115,Team/G,241.8,39.5,85.4,.462,9.4,24.8,.380,30.0,60.6,.496,15.9,21.1,.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3,GSW,2014
116,Lg,15,3,6,9,2,6,4,13,20,10,26,24,19,17,2,5,7,13,10,22,22,10,GSW,2014
117,Opponent,19830,3019,6920,.436,569,1656,.344,2450,5264,.465,1548,2023,.765,878,2671,3549,1683,649,342,1232,1584,8155,GSW,2014
118,Opponent/G,241.8,36.8,84.4,.436,6.9,20.2,.344,29.9,64.2,.465,18.9,24.7,.765,10.7,32.6,43.3,20.5,7.9,4.2,15.0,19.3,99.5,GSW,2014
119,Lg,15,9,22,4,8,9,3,16,25,3,23,20,25,14,24,20,8,22,10,11,26,10,GSW,2014
120,Team,19755,3208,6761,.474,693,1966,.352,2515,4795,.525,1741,2384,.730,858,2668,3526,2016,703,397,1136,1767,8850,LAC,2014
121,Team/G,240.9,39.1,82.5,.474,8.5,24.0,.352,30.7,58.5,.525,21.2,29.1,.730,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9,LAC,2014
122,Lg,25,4,17,3,13,8,22,11,24,3,3,2,26,21,10,14,3,6,12,7,20,1,LAC,2014
123,Opponent,19755,3068,6958,.441,595,1791,.332,2473,5167,.479,1547,2049,.755,1011,2575,3586,1908,570,284,1261,1919,8278,LAC,2014
124,Opponent/G,240.9,37.4,84.9,.441,7.3,21.8,.332,30.2,63.0,.479,18.9,25.0,.755,12.3,31.4,43.7,23.3,7.0,3.5,15.4,23.4,101.0,LAC,2014
125,Lg,25,13,23,5,9,14,1,18,21,10,22,22,12,29,11,25,25,3,3,7,3,14,LAC,2014
126,Team,19830,3026,6766,.447,491,1475,.333,2535,5291,.479,1698,2237,.759,990,2656,3646,1547,587,318,1249,1849,8241,SAC,2014
127,Team/G,241.8,36.9,82.5,.447,6.0,18.0,.333,30.9,64.5,.479,20.7,27.3,.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5,SAC,2014
128,Lg,15,21,16,18,28,26,27,6,7,17,4,4,15,5,11,9,30,22,27,23,26,17,SAC,2014
129,Opponent,19830,3103,6734,.461,696,1833,.380,2407,4901,.491,1577,2139,.737,813,2568,3381,1927,637,459,1116,1897,8479,SAC,2014
130,Opponent/G,241.8,37.8,82.1,.461,8.5,22.4,.380,29.4,59.8,.491,19.2,26.1,.737,9.9,31.3,41.2,23.5,7.8,5.6,13.6,23.1,103.4,SAC,2014
131,Lg,15,18,13,20,25,21,29,12,11,15,26,27,3,3,9,6,26,18,24,27,4,24,SAC,2014
132,Team,19755,3172,6845,.463,765,2055,.372,2407,4790,.503,1520,2004,.758,928,2601,3529,1563,688,374,1258,1798,8629,PHO,2014
133,Team/G,240.9,38.7,83.5,.463,9.3,25.1,.372,29.4,58.4,.503,18.5,24.4,.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2,PHO,2014
134,Lg,25,10,12,8,6,4,8,21,25,7,9,9,16,14,16,13,29,7,17,26,23,7,PHO,2014
135,Opponent,19755,3118,6840,.456,556,1632,.341,2562,5208,.492,1621,2115,.766,926,2586,3512,1664,613,332,1258,1749,8413,PHO,2014
136,Opponent/G,240.9,38.0,83.4,.456,6.8,19.9,.341,31.2,63.5,.492,19.8,25.8,.766,11.3,31.5,42.8,20.3,7.5,4.0,15.3,21.3,102.6,PHO,2014
137,Lg,25,19,17,14,6,8,2,24,22,16,27,26,28,22,12,16,5,12,8,8,8,21,PHO,2014
138,Team,19705,3139,6980,.450,774,2032,.381,2365,4948,.478,1390,1835,.757,745,2620,3365,2006,611,446,1239,1627,8442,LAL,2014
139,Team/G,240.3,38.3,85.1,.450,9.4,24.8,.381,28.8,60.3,.478,17.0,22.4,.757,9.1,32.0,41.0,24.5,7.5,5.4,15.1,19.8,103.0,LAL,2014
140,Lg,30,13,7,14,2,7,3,24,21,19,19,20,17,27,15,25,4,19,5,21,9,11,LAL,2014
141,Opponent,19705,3440,7350,.468,666,1843,.361,2774,5507,.504,1412,1942,.727,1068,2950,4018,2112,790,387,1164,1580,8958,LAL,2014
142,Opponent/G,240.3,42.0,89.6,.468,8.1,22.5,.361,33.8,67.2,.504,17.2,23.7,.727,13.0,36.0,49.0,25.8,9.6,4.7,14.2,19.3,109.2,LAL,2014
143,Lg,30,30,30,26,20,22,17,30,29,25,12,14,2,30,30,30,29,30,16,19,27,29,LAL,2014
144,Team,19755,3326,6844,.486,698,1757,.397,2628,5087,.517,1289,1642,.785,762,2786,3548,2064,604,420,1180,1495,8639,SAS,2014
145,Team/G,240.9,40.6,83.5,.486,8.5,21.4,.397,32.0,62.0,.517,15.7,20.0,.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,SAS,2014
146,Lg,25,1,13,2,12,16,1,3,14,4,27,30,4,26,4,12,1,20,9,11,2,6,SAS,2014
147,Opponent,19755,3096,6976,.444,529,1500,.353,2567,5476,.469,1285,1691,.760,862,2600,3462,1669,628,379,1137,1585,8006,SAS,2014
148,Opponent/G,240.9,37.8,85.1,.444,6.5,18.3,.353,31.3,66.8,.469,15.7,20.6,.760,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6,SAS,2014
149,Lg,25,14,25,8,1,1,10,26,28,6,4,5,20,11,15,12,6,15,15,25,25,6,SAS,2014
150,Team,19830,3249,6858,.474,721,1877,.384,2528,4981,.508,1378,1733,.795,840,2514,3354,1935,704,356,1110,1636,8597,DAL,2014
151,Team/G,241.8,39.6,83.6,.474,8.8,22.9,.384,30.8,60.7,.508,16.8,21.1,.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,DAL,2014
152,Lg,15,2,11,4,8,12,2,10,19,6,20,23,3,22,23,26,6,5,21,3,10,8,DAL,2014
153,Opponent,19830,3096,6673,.464,678,1888,.359,2418,4785,.505,1530,2019,.758,943,2569,3512,1808,635,288,1312,1633,8400,DAL,2014
154,Opponent/G,241.8,37.8,81.4,.464,8.3,23.0,.359,29.5,58.4,.505,18.7,24.6,.758,11.5,31.3,42.8,22.0,7.7,3.5,16.0,19.9,102.4,DAL,2014
155,Lg,15,14,10,22,22,24,15,13,7,26,20,19,17,24,10,16,15,17,4,5,21,20,DAL,2014
156,Team,19805,3122,6723,.464,405,1147,.353,2717,5576,.487,1235,1666,.741,950,2526,3476,1792,631,375,1124,1568,7884,MEM,2014
157,Team/G,241.5,38.1,82.0,.464,4.9,14.0,.353,33.1,68.0,.487,15.1,20.3,.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1,MEM,2014
158,Lg,20,14,22,7,30,30,19,1,1,11,30,29,23,9,21,19,14,14,16,4,5,27,MEM,2014
159,Opponent,19805,2924,6500,.450,615,1731,.355,2309,4769,.484,1292,1686,.766,809,2403,3212,1632,591,410,1162,1553,7755,MEM,2014
160,Opponent/G,241.5,35.7,79.3,.450,7.5,21.1,.355,28.2,58.2,.484,15.8,20.6,.766,9.9,29.3,39.2,19.9,7.2,5.0,14.2,18.9,94.6,MEM,2014
161,Lg,20,3,3,9,13,11,12,4,6,11,5,4,27,2,1,1,4,7,19,20,29,3,MEM,2014
162,Team,19830,3118,6603,.472,779,2179,.358,2339,4424,.529,1814,2549,.712,920,2797,3717,1755,621,461,1323,1676,8829,HOU,2014
163,Team/G,241.8,38.0,80.5,.472,9.5,26.6,.358,28.5,54.0,.529,22.1,31.1,.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,HOU,2014
164,Lg,15,15,26,5,1,1,16,25,30,2,1,1,28,15,3,4,18,17,3,29,15,2,HOU,2014
165,Opponent,19830,3197,7218,.443,666,1889,.353,2531,5329,.475,1395,1844,.757,977,2439,3416,1821,704,460,1149,1993,8455,HOU,2014
166,Opponent/G,241.8,39.0,88.0,.443,8.1,23.0,.353,30.9,65.0,.475,17.0,22.5,.757,11.9,29.7,41.7,22.2,8.6,5.6,14.0,24.3,103.1,HOU,2014
167,Lg,15,24,29,7,20,25,9,21,26,7,10,11,15,28,3,8,17,28,26,22,1,23,HOU,2014
168,Team,19855,3101,6761,.459,486,1303,.373,2615,5458,.479,1489,1936,.769,933,2486,3419,1745,647,523,1129,1857,8177,NOP,2014
169,Team/G,242.1,37.8,82.5,.459,5.9,15.9,.373,31.9,66.6,.479,18.2,23.6,.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7,NOP,2014
170,Lg,10,17,17,11,29,29,6,4,3,18,11,12,11,13,25,22,19,12,1,6,27,18,NOP,2014
171,Opponent,19855,3055,6567,.465,652,1827,.357,2403,4740,.507,1637,2176,.752,881,2538,3419,1845,577,504,1185,1664,8399,NOP,2014
172,Opponent/G,242.1,37.3,80.1,.465,8.0,22.3,.357,29.3,57.8,.507,20.0,26.5,.752,10.7,31.0,41.7,22.5,7.0,6.1,14.5,20.3,102.4,NOP,2014
173,Lg,10,12,5,24,14,20,13,11,4,27,28,29,8,15,8,9,20,4,29,15,19,19,NOP,2014
