,visitor,home,dates,visitor_score,home_score
0,ORL,NOP,20141028,84,101
1,DAL,SAS,20141028,100,101
2,HOU,LAL,20141028,108,90
3,MIL,CHO,20141029,106,108
4,PHI,IND,20141029,91,103
5,ATL,TOR,20141029,102,109
6,WAS,MIA,20141029,95,107
7,BRK,BOS,20141029,105,121
8,CHI,NYK,20141029,104,80
9,MIN,MEM,20141029,101,105
10,DET,DEN,20141029,79,89
11,HOU,UTA,20141029,104,93
12,LAL,PHO,20141029,99,119
13,GSW,SAC,20141029,95,77
14,OKC,POR,20141029,89,106
15,WAS,ORL,20141030,105,98
16,NYK,CLE,20141030,95,90
17,DET,MIN,20141030,91,97
18,UTA,DAL,20141030,102,120
19,OKC,LAC,20141030,90,93
20,MEM,IND,20141031,97,89
21,CLE,CHI,20141031,114,108
22,PHI,MIL,20141031,81,93
23,SAS,PHO,20141031,89,94
24,POR,SAC,20141031,94,103
25,LAC,LAL,20141031,118,111
26,MEM,CHO,20141101,71,69
27,DAL,NOP,20141101,109,104
28,TOR,ORL,20141101,108,95
29,MIA,PHI,20141101,114,96
30,MIL,WAS,20141101,97,108
31,IND,ATL,20141101,92,102
32,BRK,DET,20141101,102,90
33,BOS,HOU,20141101,90,104
34,CHI,MIN,20141101,106,105
35,DEN,OKC,20141101,91,102
36,PHO,UTA,20141101,91,118
37,LAL,GSW,20141101,104,127
38,SAC,LAC,20141102,98,92
39,TOR,MIA,20141102,102,107
40,CHO,NYK,20141102,93,96
41,GSW,POR,20141102,95,90
42,HOU,PHI,20141103,104,93
43,OKC,BRK,20141103,85,116
44,NOP,MEM,20141103,81,93
45,BOS,DAL,20141103,113,118
46,SAC,DEN,20141103,110,105
47,UTA,LAC,20141103,101,107
48,MIL,IND,20141104,87,81
49,HOU,MIA,20141104,108,91
50,WAS,NYK,20141104,98,83
51,OKC,TOR,20141104,88,100
52,ORL,CHI,20141104,90,98
53,CHO,NOP,20141104,91,100
54,CLE,POR,20141104,82,101
55,PHO,LAL,20141104,112,106
56,MIA,CHO,20141105,89,96
57,ORL,PHI,20141105,91,89
58,TOR,BOS,20141105,110,107
59,MIN,BRK,20141105,98,91
60,NYK,DET,20141105,95,98
61,CHI,MIL,20141105,95,86
62,IND,WAS,20141105,94,96
63,ATL,SAS,20141105,92,94
64,MEM,PHO,20141105,102,91
65,CLE,UTA,20141105,100,102
66,DEN,SAC,20141105,109,131
67,LAC,GSW,20141105,104,121
68,SAS,HOU,20141106,81,98
69,DAL,POR,20141106,87,108
70,ATL,CHO,20141107,119,122
71,MIN,ORL,20141107,103,112
72,CHI,PHI,20141107,118,115
73,IND,BOS,20141107,98,101
74,NYK,BRK,20141107,99,110
75,MIL,DET,20141107,95,98
76,WAS,TOR,20141107,84,103
77,MEM,OKC,20141107,91,89
78,SAC,PHO,20141107,114,112
79,DAL,UTA,20141107,105,82
80,CLE,DEN,20141107,110,101
81,POR,LAC,20141108,102,106
82,WAS,IND,20141108,97,90
83,NYK,ATL,20141108,96,103
84,MIN,MIA,20141108,92,102
85,BOS,CHI,20141108,106,101
86,GSW,HOU,20141108,98,87
87,MEM,MIL,20141108,92,93
88,NOP,SAS,20141108,100,99
89,ORL,BRK,20141109,96,104
90,UTA,DET,20141109,97,96
91,SAC,OKC,20141109,93,101
92,PHI,TOR,20141109,88,120
93,MIA,DAL,20141109,105,96
94,GSW,PHO,20141109,95,107
95,DEN,POR,20141109,100,116
96,CHO,LAL,20141109,92,107
97,NOP,CLE,20141110,111,118
98,UTA,IND,20141110,86,97
99,ATL,NYK,20141110,91,85
