,player,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,team,year
810,Team,19755,3238,7033,.460,709,1983,.358,2529,5050,.501,1349,1849,.730,743,2688,3431,2005,708,323,1186,1708,8534,WAS,2016
811,Team/G,240.9,39.5,85.8,.460,8.6,24.2,.358,30.8,61.6,.501,16.5,22.5,.730,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1,WAS,2016
812,Lg,26,6,10,9,13,14,11,9,16,9,24,20,25,27,22,26,5,8,26,16,21,9,WAS,2016
813,Opponent,19755,3170,6868,.462,737,1987,.371,2433,4881,.498,1498,1947,.769,773,2858,3631,1846,661,356,1325,1651,8575,WAS,2016
814,Opponent/G,240.9,38.7,83.8,.462,9.0,24.2,.371,29.7,59.5,.498,18.3,23.7,.769,9.4,34.9,44.3,22.5,8.1,4.3,16.2,20.1,104.6,WAS,2016
815,Lg,26,18,8,23,20,15,28,16,13,18,20,17,26,7,23,17,18,21,6,4,16,21,WAS,2016
816,Team,19855,3388,7137,.475,756,2030,.372,2632,5107,.515,1421,1812,.784,843,2671,3514,1956,693,336,1162,1745,8953,WAS,2017
817,Team/G,242.1,41.3,87.0,.475,9.2,24.8,.372,32.1,62.3,.515,17.3,22.1,.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,WAS,2017
818,Lg,7,2,10,3,16,20,8,4,6,7,20,22,12,13,24,22,6,2,24,20,27,5,WAS,2017
819,Opponent,19855,3253,6978,.466,810,2224,.364,2443,4754,.514,1489,1982,.751,868,2661,3529,1870,606,377,1257,1621,8805,WAS,2017
820,Opponent/G,242.1,39.7,85.1,.466,9.9,27.1,.364,29.8,58.0,.514,18.2,24.2,.751,10.6,32.5,43.0,22.8,7.4,4.6,15.3,19.8,107.4,WAS,2017
821,Lg,7,21,12,24,17,16,20,16,11,25,17,21,1,20,9,11,15,12,10,3,18,21,WAS,2017
822,Team,19855,3275,7018,.467,814,2173,.375,2461,4845,.508,1378,1786,.772,823,2713,3536,2065,645,353,1196,1746,8742,WAS,2018
823,Team/G,242.1,39.9,85.6,.467,9.9,26.5,.375,30.0,59.1,.508,16.8,21.8,.772,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,WAS,2018
824,Lg,5,12,19,11,21,23,4,10,10,14,13,14,16,13,22,21,4,10,22,18,25,13,WAS,2018
825,Opponent,19855,3195,6918,.462,835,2393,.349,2360,4525,.522,1469,1931,.761,805,2682,3487,1831,641,383,1224,1639,8694,WAS,2018
826,Opponent/G,242.1,39.0,84.4,.462,10.2,29.2,.349,28.8,55.2,.522,17.9,23.5,.761,9.8,32.7,42.5,22.3,7.8,4.7,14.9,20.0,106.0,WAS,2018
827,Lg,5,11,9,15,12,14,6,12,9,23,22,26,11,16,7,10,10,19,13,6,15,15,WAS,2018
828,Team,19930,3456,7387,.468,930,2731,.341,2526,4656,.543,1508,1963,.768,794,2679,3473,2154,683,379,1154,1701,9350,WAS,2019
829,Team/G,243.0,42.1,90.1,.468,11.3,33.3,.341,30.8,56.8,.543,18.4,23.9,.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0,WAS,2019
830,Lg,2,10,10,11,14,12,26,11,17,4,10,9,17,23,27,27,6,7,23,18,13,10,WAS,2019
831,Opponent,19930,3560,7424,.480,994,2689,.370,2566,4735,.542,1474,1895,.778,936,2939,3875,2151,631,378,1292,1741,9588,WAS,2019
832,Opponent/G,243.0,43.4,90.5,.480,12.1,32.8,.370,31.3,57.7,.542,18.0,23.1,.778,11.4,35.8,47.3,26.2,7.7,4.6,15.8,21.2,116.9,WAS,2019
833,Lg,2,30,22,28,26,19,27,26,21,28,20,18,26,29,27,28,28,20,10,3,12,29,WAS,2019
834,Team,19905,3242,7120,.455,636,1818,.350,2606,5302,.492,1249,1649,.757,843,2709,3552,1933,673,417,1155,1701,8369,ORL,2016
835,Team/G,242.7,39.5,86.8,.455,7.8,22.2,.350,31.8,64.7,.492,15.2,20.1,.757,10.3,33.0,43.3,23.6,8.2,5.1,14.1,20.7,102.1,ORL,2016
836,Lg,3,5,4,12,23,22,16,7,6,14,30,29,17,18,21,17,7,12,15,14,19,18,ORL,2016
837,Opponent,19905,3150,6850,.460,732,2041,.359,2418,4809,.503,1470,1971,.746,832,2800,3632,1899,620,448,1240,1497,8502,ORL,2016
838,Opponent/G,242.7,38.4,83.5,.460,8.9,24.9,.359,29.5,58.6,.503,17.9,24.0,.746,10.1,34.1,44.3,23.2,7.6,5.5,15.1,18.3,103.7,ORL,2016
839,Lg,3,16,7,20,19,20,19,13,6,22,17,21,6,13,21,18,21,13,21,11,30,18,ORL,2016
840,Team,19805,3139,7133,.440,701,2139,.328,2438,4994,.488,1309,1753,.747,807,2734,3541,1820,580,396,1091,1584,8288,ORL,2017
841,Team/G,241.5,38.3,87.0,.440,8.5,26.1,.328,29.7,60.9,.488,16.0,21.4,.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,ORL,2017
842,Lg,13,22,11,28,25,15,29,16,10,26,27,27,25,17,16,20,18,24,15,9,11,27,ORL,2017
843,Opponent,19805,3304,7081,.467,794,2161,.367,2510,4920,.510,1425,1860,.766,799,2934,3733,1936,622,419,1069,1532,8827,ORL,2017
844,Opponent/G,241.5,40.3,86.4,.467,9.7,26.4,.367,30.6,60.0,.510,17.4,22.7,.766,9.7,35.8,45.5,23.6,7.6,5.1,13.0,18.7,107.6,ORL,2017
845,Lg,13,25,20,25,13,13,24,25,21,22,12,12,7,8,28,28,22,16,20,24,26,22,ORL,2017
846,Team,19730,3182,7042,.452,844,2405,.351,2338,4637,.504,1271,1678,.757,722,2692,3414,1921,622,400,1192,1579,8479,ORL,2018
847,Team/G,240.6,38.8,85.9,.452,10.3,29.3,.351,28.5,56.5,.504,15.5,20.5,.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,ORL,2018
848,Lg,23,20,17,19,17,14,28,19,18,17,23,21,21,25,24,26,11,20,13,17,11,24,ORL,2018
849,Opponent,19730,3355,7176,.468,819,2260,.362,2536,4916,.516,1345,1741,.773,868,2892,3760,1998,639,402,1166,1556,8874,ORL,2018
